University,Country,Latitude,Longitude
Ganja State University,Azerbaijan ,40.6780469,46.3601592
Khazar University,Azerbaijan ,40.373352,49.8333129
Lankaran State University,Azerbaijan ,38.7543588,48.8512589
Nakhchivan Private University,Azerbaijan ,39.2009126,45.4082269
Nakhchivan State University,Azerbaijan ,39.2253137,45.4033481
National Aviation Academy,Azerbaijan ,40.4531952,50.0675043
Odlar Yurdu University,Azerbaijan ,40.3977378,49.85802529999999
Police Academy,Azerbaijan ,40.143105,47.576927
Qafqaz University,Azerbaijan ,40.4761209,49.7265498
Sumgait State University,Azerbaijan ,40.5742618,49.6767502
Western University,Azerbaijan ,40.3644567,49.8308306
American University,Boliviasnia and HerzEgyptovIndiaa,38.9380155,-77.088922
International Burch University,Boliviasnia and Herzegovina,43.8186281,18.31207
International University of Sarajevo,Boliviasnia and Herzegovina,43.8216784,18.3090377
International University of Travnik,Boliviasnia and Herzegovina,44.2268215,17.6500167
Sarajevo Film Academy,Boliviasnia and Herzegovina,,
Slobomir P Univerzitet,Boliviasnia and Herzegovina,44.7334293,18.0843732
University of Banja Luka,Boliviasnia and Herzegovina,44.7745476,17.2111926
University of Bihac,Boliviasnia and Herzegovina,44.8137038,15.869236
University of East Srarajevo,Boliviasnia and Herzegovina,43.8238342,18.3738727
University of Mostar,Boliviasnia and Herzegovina,43.3454641,17.7967777
University of Sarajevo,Boliviasnia and Herzegovina,43.8562586,18.4130763
University of Tuzla,Boliviasnia and Herzegovina,44.5318494,18.6869958
University of Zenica,Boliviasnia and Herzegovina,44.19947759999999,17.9021989
University Vitez In Travnik,Boliviasnia and Herzegovina,44.2293783,17.6429578
"Univerzitet u Mostaru ""Dzemal Bijedic""",Boliviasnia and Herzegovina,43.3524795,17.811207
University of the West Indies  Cave Hill,Barbados,13.1345645,-59.62978750000001
Ahsanullah University of Science & Technology,Bangladesh,23.684994,90.356331
American International University - Bangladesh,Bangladesh,23.8221242,90.4274063
Asa University Bangladesh,Bangladesh,23.7733871,90.3663978
Asian University of Bangladesh,Bangladesh,23.8960034,90.3230098
Atish Dipankar University,Bangladesh,23.8668195,90.37725329999999
Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangladesh,24.0360216,90.3962437
Bangabandhu Sheikh Mujibur Rahman Medical University,Bangladesh,23.7383718,90.3953664
Bangladesh Agricultural University,Bangladesh,24.7196252,90.4266584
Bangladesh Open University,Bangladesh,23.9513847,90.3809206
Bangladesh University,Bangladesh,23.7614642,90.3674717
Bangladesh University of Business & Technology,Bangladesh,23.8117863,90.35691519999999
Bangladesh University of Engineering and Technology,Bangladesh,23.7265659,90.3926596
Bangladesh University of Professionals,Bangladesh,23.8396364,90.3576472
Bangladesh University of Textiles,Bangladesh,23.7602868,90.400595
Begum Rokeya University  Rangpur,Bangladesh,25.7154421,89.2603571
BGC Trust University  Bangladesh,Bangladesh,23.684994,90.356331
Brac University,Bangladesh,23.7801463,90.4071704
Chittagong Independent University,Bangladesh,22.346138,91.8339767
Chittagong University of Engineering and Technology,Bangladesh,22.4619433,91.9710592
City University,Bangladesh,23.7509325,90.3893401
Comilla University,Bangladesh,23.419413,91.13646
Daffodil International University,Bangladesh,23.8768956,90.32015919999999
Darul Ihsan University,Bangladesh,23.7391507,90.381907
Dhaka International University,Bangladesh,23.7953512,90.4448103
Dhaka University of Engineering and Technology,Bangladesh,24.0178493,90.4181882
East Delta University,Bangladesh,22.3726523,91.80727519999999
Eastern University,Bangladesh,,
East West University,Bangladesh,23.7685404,90.4255046
East-West University  Mohakhali,Bangladesh,23.7777571,90.40574079999999
Green University of Bangladesh,Bangladesh,23.8294522,90.5663124
Hajee Mohammad Danesh Science and Technology University,Bangladesh,25.6986802,88.65617069999999
IBAIS University,Bangladesh,23.7544331,90.37251979999999
Independent University  Bangladesh,Bangladesh,23.8155044,90.4275435
International Culture University,Bangladesh,23.684994,90.356331
International Islamic University Chittagong,Bangladesh,22.4965971,91.7210784
International University of Business Agriculture and Technology,Bangladesh,23.8882699,90.3906595
Islamic University Kushtia,Bangladesh,23.7237112,89.1511362
Islamic University of Technology,Bangladesh,23.948102,90.37926
Jagannath University,Bangladesh,23.7085661,90.41136449999999
Jahangirnagar University,Bangladesh,23.8790605,90.2690466
Jatiya Kabi Kazi Nazrul Islam University,Bangladesh,24.5819974,90.3751927
Khulna University,Bangladesh,22.8022039,89.5339231
Khulna University of Engineering And Technology,Bangladesh,22.9005524,89.50235649999999
Leading University,Bangladesh,24.8693875,91.8049219
Manarat International University,Bangladesh,23.7909904,90.4211759
Mawlana Bhashani Science And Technology University,Bangladesh,24.235713,89.89058349999999
Metropolitan University,Bangladesh,24.9301381,91.97301720000002
Military Institute of Science and Technology,Bangladesh,23.8377201,90.3578917
National University,Bangladesh,23.9504063,90.38013199999999
Noakhali University of Science and Technology,Bangladesh,22.7916098,91.1027708
North East University Bangladesh,Bangladesh,24.8900955,91.86095550000002
Northern University Bangladesh,Bangladesh,23.8491142,90.42460559999999
North South University,Bangladesh,23.8151107,90.4255566
Pabna University of Science and Technology,Bangladesh,24.0132789,89.2796812
Patuakhali Science and Technology University,Bangladesh,22.4647247,90.38274729999999
People's University of Bangladesh,Bangladesh,23.7602386,90.37033389999999
Premier University,Bangladesh,22.3605336,91.8286305
Presidency University,Bangladesh,23.7964068,90.41738389999999
Queens University,Bangladesh,23.7724147,90.3602475
Rajshahi University of Engineering and Technology,Bangladesh,24.3635683,88.6283773
Shahjalal University of Science and Technology,Bangladesh,24.9172232,91.8319132
Southeast University,Bangladesh,23.7945972,90.4047276
Southern University Bangladesh,Bangladesh,22.3854245,91.8020312
Stamford University,Bangladesh,23.7445001,90.4084361
Sylhet Agricultural University,Bangladesh,24.910065,91.9006338
Sylhet Engineering College,Bangladesh,24.911766,91.90410659999999
Sylhet International University,Bangladesh,24.9015134,91.84456420000001
United International University,Bangladesh,23.7978829,90.44971
University of Asia Pacific  Dhanmondi,Bangladesh,23.7461495,90.3742307
University of Chittagong,Bangladesh,22.4715718,91.7876793
